id,name,family,style,alc_vol,bitter,ounces
799,21st Amendment IPA (2006),Pale Ale,American IPA,0.07,70,12
2110,1916 Shore Shiver,Pale Ale,American IPA,0.069,65,12
2539,The Brown Note,Other Ales,American Brown Ale,0.05,20,16
1082,RecreationAle,Pale Ale,American Pale Ale (APA),0.047,42,12
138,Point Special Lager,Lager & Pilsener,American Adjunct Lager,0.047,9,12
140,Point Cascade Pale Ale,Pale Ale,American Pale Ale (APA),0.054000000000000006,33,12
745,Dale's Pale Ale (2008),Pale Ale,American Pale Ale (APA),0.065,65,12
754,Dale's Pale Ale (2010),Pale Ale,American Pale Ale (APA),0.065,65,12
1439,Boat Beer,Pale Ale,American IPA,0.042,35,12
1561,Double Trunk,Pale Ale,American Double / Imperial IPA,0.099,101,16
666,Rodeo Clown Double IPA,Pale Ale,American Double / Imperial IPA,0.095,85,12
2588,Cow Creek,Lager & Pilsener,American Amber / Red Lager,0.054000000000000006,26,12
741,Dale's Pale Ale (2002),Pale Ale,American Pale Ale (APA),0.065,65,12
1522,Agave Wheat,Other Ales,American Pale Wheat Ale,0.042,9,12
1832,Adam's Stout,Stout & Bitter,American Stout,0.057999999999999996,40,12
1625,Belgian Style Session Ale,Pale Ale,Belgian Pale Ale,0.045,21,12
1678,KelSo Nut Brown Lager,Lager & Pilsener,Euro Dark Lager,0.057,19,12
2189,In-Tents India Pale Lager,Lager & Pilsener,American Pale Lager,0.068,62,12
1091,Hans' Pils (2015),Lager & Pilsener,German Pilsener,0.053,52,12
2690,Wall's End,Other Ales,English Brown Ale,0.048,19,16
2471,Hopkick Dropkick,Pale Ale,American Double / Imperial IPA,0.099,115,12
107,Avery India Pale Ale,Pale Ale,American IPA,0.063,69,12
2036,Getaway,Lager & Pilsener,German Pilsener,0.052000000000000005,30,16
1177,Mutiny IPA,Pale Ale,American IPA,0.062,70,12
2104,Aprè Shred,Other Ales,American Strong Ale,0.081,17,16
1168,Farm Girl Saison,Other Ales,Saison / Farmhouse Ale,0.06,30,16
1641,Better Weather IPA,Pale Ale,American IPA,0.094,92,16
2397,Nonstop Hef Hop,Other Ales,American Pale Wheat Ale,0.039,20,16
379,Heady Topper,Pale Ale,American Double / Imperial IPA,0.08,120,16
1460,El Conquistador Extra Pale Ale,Pale Ale,American Pale Ale (APA),0.048,44,32
2251,Oak Cliff Coffee Ale,Other Ales,American Brown Ale,0.075,33,12
2403,P-Town Pilsner,Lager & Pilsener,American Pilsner,0.04,20,12
740,Hop Slayer Double IPA (2011),Pale Ale,American Double / Imperial IPA,0.08199999999999999,100,12
876,Bitter American,Pale Ale,American Pale Ale (APA),0.044000000000000004,42,12
967,Black IPA,Other Ales,American Black Ale,0.071,95,12
1255,Bad Axe Imperial IPA,Pale Ale,American Double / Imperial IPA,0.098,76,16
890,Payette Pale Ale,Pale Ale,American Pale Ale (APA),0.048,35,12
2678,Rico Sauvin,Pale Ale,American Double / Imperial IPA,0.076,68,16
917,Becky's Black Cat Porter,Stout & Bitter,American Porter,0.07,55,16
2406,Murphy's Law,Other Ales,American Amber / Red Ale,0.057999999999999996,35,12
2677,Coq de la Marche,Other Ales,Saison / Farmhouse Ale,0.051,38,16
2427,Suncaster Summer Wheat,Other Ales,American Pale Wheat Ale,0.05,28,12
804,Ten Fidy Imperial Stout (2008),Stout & Bitter,Russian Imperial Stout,0.095,98,12
1117,Devil's Harvest Extra Pale Ale,Pale Ale,American Pale Ale (APA),0.057999999999999996,60,16
2393,Nonstop Hef Hop,Other Ales,American Pale Wheat Ale,0.039,20,16
676,Halcyon Unfiltered Wheat,Other Ales,American Pale Wheat Ale,0.05,20,16
1270,Capital Trail Pale Ale,Pale Ale,American Pale Ale (APA),0.055999999999999994,55,12
1017,Ethos IPA,Pale Ale,American IPA,0.068,110,16
1662,Wet Hot American Wheat Ale,Other Ales,American Pale Wheat Ale,0.05,22,16
1792,Iron Butt Red Ale,Other Ales,American Amber / Red Ale,0.057999999999999996,39,12
585,HGH (Home Grown Hops): Part Duh,Other Ales,American Strong Ale,0.08,70,12
762,Ace IPA,Pale Ale,American IPA,0.07400000000000001,83,16
1924,Long Trail Ale,Other Ales,American Amber / Red Ale,0.046,30,12
1047,Back in the Saddle Rye Pale Ale,Pale Ale,American Pale Ale (APA),0.037000000000000005,53,12
17,Coffee Bender,Other Ales,American Brown Ale,0.051,45,16
643,Big River Pilsner,Lager & Pilsener,Czech Pilsener,0.05,32,12
1140,José Martí American Porter,Stout & Bitter,American Porter,0.08,65,12
2094,Epitome,Other Ales,American Black Ale,0.099,100,16
1774,Hijack,Other Ales,Cream Ale,0.055,20,12
2680,Sho'nuff,Pale Ale,Belgian Pale Ale,0.04,13,16
1392,Sanitas Saison Ale,Other Ales,Saison / Farmhouse Ale,0.057999999999999996,20,12
2478,Pale Alement,Pale Ale,American Pale Ale (APA),0.055,40,12
2126,Lakefire Rye Pale Ale,Pale Ale,American Pale Ale (APA),0.055,35,12
2077,No Wake IPA,Pale Ale,American IPA,0.07200000000000001,50,12
1861,BLAKKR,Other Ales,American Black Ale,0.099,85,12
1394,Old Forge Pumpkin Ale,Other Ales,Pumpkin Ale,0.046,20,16
1057,South Ridge Amber Ale,Other Ales,American Amber / Red Ale,0.06,31,16
1795,Filthy Hoppin' IPA,Pale Ale,American IPA,0.065,72,16
695,Car 21,Stout & Bitter,English Bitter,0.044000000000000004,28,16
8,Ten Fidy Imperial Stout,Stout & Bitter,Russian Imperial Stout,0.099,98,12
626,Aurora Lager (2011),Lager & Pilsener,Dortmunder / Export Lager,0.057,27,16
1577,12th Round,Other Ales,American Strong Ale,0.076,78,16
1242,Big Nose,Pale Ale,American IPA,0.073,50,12
2013,Wandering Pelican,Other Ales,American Black Ale,0.08199999999999999,65,12
2238,Lobo Lito,Lager & Pilsener,Light Lager,0.04,12,12
1346,Habitus IPA,Pale Ale,American IPA,0.08,86,16
567,Churchkey Pilsner Style Beer,Lager & Pilsener,American Pilsner,0.049,29,12
2026,Pursuit,Pale Ale,American IPA,0.07,40,12
2062,Noche Dulce,Stout & Bitter,American Porter,0.071,16,16
778,Brownstone,Other Ales,American Brown Ale,0.059000000000000004,47,16
2639,Dark Star,Stout & Bitter,American Stout,0.08,54,16
863,483 Pale Ale,Pale Ale,American Pale Ale (APA),0.053,48,16
2116,Brutus,Pale Ale,English India Pale Ale (IPA),0.071,69,12
2460,India Pale Ale,Pale Ale,American IPA,0.063,65,16
1694,Dry-Hopped On The High Seas Caribbean-Style IPA,Pale Ale,American IPA,0.07,60,12
1848,American Red Saison,Other Ales,Saison / Farmhouse Ale,0.078,34,12
2366,Point Special (Current),Lager & Pilsener,American Adjunct Lager,0.047,9,12
2684,35 K,Stout & Bitter,Milk / Sweet Stout,0.077,25,16
1874,El Chingon IPA,Pale Ale,American IPA,0.076,73,12
309,Good People IPA,Pale Ale,American IPA,0.06,64,12
1093,Narragansett Summer Ale,Other Ales,American Pale Wheat Ale,0.042,24,12
1801,Last Stop IPA,Pale Ale,American IPA,0.07200000000000001,60,12
1910,Lake House,Lager & Pilsener,Munich Helles Lager,0.046,18,16
501,Pale Dog,Pale Ale,American Pale Ale (APA),0.06,50,12
